Kabupaten/ Kota,new_cases,hospitalization_rate,mortality,testing,tracing_ratio,bed_occupancy_rate,vaksin_umum,vaksin_lansia,ppkm
LAMONGAN,0.08,,0,0.44,0,0.14,72.55,64.01,2
MAJALENGKA,0.08,,0,0.57,0,0,74.7,70.56,2
LOMBOK TIMUR,0.08,,0,6.67,0,0,77.87,68.75,2
SERANG,0.07,,0,0.66,0,0,56.73,81.19,2
SUBANG,0.06,,0,0.7,0,0,76.75,80.93,2
KOTA BATAM,0.06,,0,0.6,0,0,92.19,81.14,2
INDRAMAYU,0.06,,0,0.35,0,2.13,74.29,80.52,2
SUKABUMI,0.04,,0,0.14,0,0,74.55,111.56,2
MALANG,0.04,,0.04,0.18,0,0.06,70.99,57.35,2
YALIMO,0,,0,0,0,,1.41,0.24,3
YAHUKIMO,0,,0,0,0,0,1.45,0.27,3
WONOGIRI,0,,0,0,0,0.92,77.92,82.63,2
WAROPEN,0,,0,0,0,,18.35,5.81,3
WAKATOBI,0,,0,0,0,0,53.01,61.11,2
TULANG BAWANG,0,,0,0,0,0,67.86,61.95,2
TUBAN,0,0.08,0,0,0,0.62,71.43,68.13,2
TOLIKARA,0,,0,0,0,0,1.53,0.04,3
TIMOR TENGAH UTARA,0,,0,0,0,0,67.8,51.74,2
TELUK WONDAMA,0,,0,0,0,0,40.67,27.04,3
TELUK BINTUNI,0,,0,0,0,0,39.48,27.54,3
TEBO,0,,0,0,0,0,76.08,69.18,2
TAPIN,0,,0,0,0,0,74.34,93.8,2
TAPANULI TENGAH,0,,0,0,0,0,72.73,84.67,2
TAPANULI SELATAN,0,,0,0,0,0,79.55,84.08,2
TANJUNG JABUNG TIMUR,0,,0,0,0,0,75.47,62.98,2
TANJUNG JABUNG BARAT,0,,0,0,0,0,73.03,57.68,2
TANGGAMUS,0,,0,0,0,0,60.22,51.06,2
TANAH DATAR,0,,0,0,0,0,60.39,70.56,2
TANAH BUMBU,0,0.24,0,0,0,1.06,72.69,60.96,2
TANA TORAJA,0,,0,0,0,0,69.33,62.84,2
TANA TIDUNG,0,,0,0,0,0,77.65,71.85,1
TAMBRAUW,0,,0,0,0,0,11.1,4.59,3
TAKALAR,0,,0,0,0,0,55.36,44.19,2
TABALONG,0,,0,0,0,3.85,67.48,66.97,2
SUPIORI,0,,0,0,0,0,21.28,6.17,3
SUMBAWA BARAT,0,,0,0,0,0,78.85,68.25,2
SUMBAWA,0,0.21,0,0,0,0.6,72.52,66.14,2
SUMBA TIMUR,0,,0,0,0,0,62.55,36.8,3
SUMBA TENGAH,0,,0,0,0,0,63.69,46.75,2
SUMBA BARAT DAYA,0,,0,0,0,0,58.99,51.93,2
SUMBA BARAT,0,,0,0,0,0,60.51,40.92,2
SUKAMARA,0,,0,0,0,0,84.11,58.93,2
SRAGEN,0,,0,0,0,12.13,79.08,74.49,2
SORONG SELATAN,0,,0,0,0,0,26.82,10.57,3
SORONG,0,,0,0,0,5.56,53.04,31.62,3
SOLOK SELATAN,0,,0,0,0,0,60.1,48.41,2
SOLOK,0,,0,0,0,0,48.56,69.57,3
SITUBONDO,0,,0,0,0,0,72.58,89.09,2
SINTANG,0,0.23,0,0,0,1,66.37,54.67,2
SINJAI,0,,0,0,0,0,54.34,49.34,2
SIMEULUE,0,,0,0,0,0,77.06,83.12,2
SIJUNJUNG,0,,0,0,0,0,63.59,73.73,2
SIGI,0,,0,0,0,0,52.28,41.09,2
SIDENRENG RAPPANG,0,,0,0,0,0,61.9,44.2,2
SERUYAN,0,,0,0,0,0,74.66,47.36,2
SERAM BAGIAN TIMUR,0,,0,0,0,0,27.16,37.02,3
SERAM BAGIAN BARAT,0,,0,0,0,0,24.51,15.53,3
SEMARANG,0,,0,0,0,0,79.44,74.61,2
SELUMA,0,,0,0,0,0,64.98,63.44,2
SEKADAU,0,,0,0,0,0.36,70.89,49.58,2
SAROLANGUN,0,,0,0,0,0,65.89,70.17,2
SANGGAU,0,,0,0,0,0,74.23,55.05,2
SAMPANG,0,,0,0,0,0,76.14,105.11,2
SAMOSIR,0,,0,0,0,0,93.57,92.97,2
SABU RAIJUA,0,,0,0,0,0,58.38,45.13,2
ROTE NDAO,0,,0,0,0,0,54.64,45.3,2
ROKAN HULU,0,,0,0,0,0,70.13,66.98,2
ROKAN HILIR,0,,0,0,0,39.5,73.69,64.82,2
REMBANG,0,,0,0,0,19.35,66.49,55.43,2
REJANG LEBONG,0,,0,0,0,0,68.26,61.2,2
RAJA AMPAT,0,,0,0,0,0,37.93,23.51,3
PURWOREJO,0,,0,0,0,0,74.22,70.15,2
PUNCAK JAYA,0,,0,0,0,0,2.21,0.16,3
PUNCAK,0,,0,0,0,,2.13,0.28,3
PULAU TALIABU,0,,0,0,0,0,42.44,47.51,3
PULAU MOROTAI,0,,0,0,0,0,62.15,64.11,2
PROBOLINGGO,0,,0,0,0,0,66.5,64.57,2
POSO,0,,0,0,0,0,54.61,46.91,2
PINRANG,0,,0,0,0,0,61.53,56.95,2
PIDIE JAYA,0,,0,0,0,0,73.37,64.39,2
PIDIE,0,,0,0,0,0,74.31,68.6,2
PESISIR SELATAN,0,,0,0,0,0,57.82,64.13,2
PESISIR BARAT,0,,0,0,0,0,65.67,60.23,2
PELALAWAN,0,,0.18,0,0,0,71.56,69,2
PEKALONGAN,0,,0,0,0,7.43,66.43,51.64,2
PEGUNUNGAN BINTANG,0,,0,0,0,0,6.74,0.23,3
PEGUNUNGAN ARFAK,0,,0,0,0,,1.72,1.01,3
PATI,0,,0,0,0,0,69.44,62.16,2
